    0.0000000000E+00    0.0000000000E+00    0.0000000000E+00
    0.1953125000E-02    0.2622473110E-03    0.4863739014E-03
    0.3906250000E-02    0.5207071824E-03    0.9689331055E-03
    0.5859375000E-02    0.7754068695E-03    0.1447677612E-02
    0.7812500000E-02    0.1026373622E-02    0.1922607422E-02
    0.9765625000E-02    0.1273634684E-02    0.2393722534E-02
    0.1171875000E-01    0.1517217288E-02    0.2861022949E-02
    0.1367187500E-01    0.1757148654E-02    0.3324508667E-02
    0.1562500000E-01    0.1993455988E-02    0.3784179688E-02
    0.1757812500E-01    0.2226166479E-02    0.4240036011E-02
    0.1953125000E-01    0.2455307296E-02    0.4692077637E-02
    0.2148437500E-01    0.2680905586E-02    0.5140304565E-02
    0.2343750000E-01    0.2902988470E-02    0.5584716797E-02
    0.2539062500E-01    0.3121583045E-02    0.6025314331E-02
    0.2734375000E-01    0.3336716374E-02    0.6462097168E-02
    0.2929687500E-01    0.3548415494E-02    0.6895065308E-02
    0.3125000000E-01    0.3756707401E-02    0.7324218750E-02
    0.3320312500E-01    0.3961619060E-02    0.7749557495E-02
    0.3515625000E-01    0.4163177394E-02    0.8171081543E-02
    0.3710937500E-01    0.4361409284E-02    0.8588790894E-02
    0.3906250000E-01    0.4556341569E-02    0.9002685547E-02
    0.4101562500E-01    0.4748001039E-02    0.9412765503E-02
    0.4296875000E-01    0.4936414439E-02    0.9819030762E-02
    0.4492187500E-01    0.5121608460E-02    0.1022148132E-01
    0.4687500000E-01    0.5303609739E-02    0.1062011719E-01
    0.4882812500E-01    0.5482444861E-02    0.1101493835E-01
    0.5078125000E-01    0.5658140348E-02    0.1140594482E-01
    0.5273437500E-01    0.5830722665E-02    0.1179313660E-01
    0.5468750000E-01    0.6000218214E-02    0.1217651367E-01
    0.5664062500E-01    0.6166653330E-02    0.1255607605E-01
    0.5859375000E-01    0.6330054282E-02    0.1293182373E-01
    0.6054687500E-01    0.6490447269E-02    0.1330375671E-01
    0.6250000000E-01    0.6647858418E-02    0.1367187500E-01
    0.6445312500E-01    0.6802313783E-02    0.1403617859E-01
    0.6640625000E-01    0.6953839340E-02    0.1439666748E-01
    0.6835937500E-01    0.7102460987E-02    0.1475334167E-01
    0.7031250000E-01    0.7248204541E-02    0.1510620117E-01
    0.7226562500E-01    0.7391095737E-02    0.1545524597E-01
    0.7421875000E-01    0.7531160224E-02    0.1580047607E-01
    0.7617187500E-01    0.7668423563E-02    0.1614189148E-01
    0.7812500000E-01    0.7802911226E-02    0.1647949219E-01
    0.8007812500E-01    0.7934648594E-02    0.1681327820E-01
    0.8203125000E-01    0.8063660954E-02    0.1714324951E-01
    0.8398437500E-01    0.8189973496E-02    0.1746940613E-01
    0.8593750000E-01    0.8313611314E-02    0.1779174805E-01
    0.8789062500E-01    0.8434599401E-02    0.1811027527E-01
    0.8984375000E-01    0.8552962646E-02    0.1842498779E-01
    0.9179687500E-01    0.8668725838E-02    0.1873588562E-01
    0.9375000000E-01    0.8781913657E-02    0.1904296875E-01
    0.9570312500E-01    0.8892550675E-02    0.1934623718E-01
    0.9765625000E-01    0.9000661355E-02    0.1964569092E-01
    0.9960937500E-01    0.9106270047E-02    0.1994132996E-01
    0.1015625000E+00    0.9209400988E-02    0.2023315430E-01
    0.1035156250E+00    0.9310078298E-02    0.2052116394E-01
    0.1054687500E+00    0.9408325980E-02    0.2080535889E-01
    0.1074218750E+00    0.9504167917E-02    0.2108573914E-01
    0.1093750000E+00    0.9597627870E-02    0.2136230469E-01
    0.1113281250E+00    0.9688729477E-02    0.2163505554E-01
    0.1132812500E+00    0.9777496251E-02    0.2190399170E-01
    0.1152343750E+00    0.9863951577E-02    0.2216911316E-01
    0.1171875000E+00    0.9948118713E-02    0.2243041992E-01
    0.1191406250E+00    0.1003002078E-01    0.2268791199E-01
    0.1210937500E+00    0.1010968078E-01    0.2294158936E-01
    0.1230468750E+00    0.1018712157E-01    0.2319145203E-01
    0.1250000000E+00    0.1026236586E-01    0.2343750000E-01
    0.1269531250E+00    0.1033543626E-01    0.2367973328E-01
    0.1289062500E+00    0.1040635520E-01    0.2391815186E-01
    0.1308593750E+00    0.1047514498E-01    0.2415275574E-01
    0.1328125000E+00    0.1054182778E-01    0.2438354492E-01
    0.1347656250E+00    0.1060642561E-01    0.2461051941E-01
    0.1367187500E+00    0.1066896034E-01    0.2483367920E-01
    0.1386718750E+00    0.1072945370E-01    0.2505302429E-01
    0.1406250000E+00    0.1078792727E-01    0.2526855469E-01
    0.1425781250E+00    0.1084440246E-01    0.2548027039E-01
    0.1445312500E+00    0.1089890056E-01    0.2568817139E-01
    0.1464843750E+00    0.1095144268E-01    0.2589225769E-01
    0.1484375000E+00    0.1100204980E-01    0.2609252930E-01
    0.1503906250E+00    0.1105074270E-01    0.2628898621E-01
    0.1523437500E+00    0.1109754205E-01    0.2648162842E-01
    0.1542968750E+00    0.1114246834E-01    0.2667045593E-01
    0.1562500000E+00    0.1118554189E-01    0.2685546875E-01
    0.1582031250E+00    0.1122678287E-01    0.2703666687E-01
    0.1601562500E+00    0.1126621129E-01    0.2721405029E-01
    0.1621093750E+00    0.1130384697E-01    0.2738761902E-01
    0.1640625000E+00    0.1133970960E-01    0.2755737305E-01
    0.1660156250E+00    0.1137381866E-01    0.2772331238E-01
    0.1679687500E+00    0.1140619351E-01    0.2788543701E-01
    0.1699218750E+00    0.1143685329E-01    0.2804374695E-01
    0.1718750000E+00    0.1146581699E-01    0.2819824219E-01
    0.1738281250E+00    0.1149310344E-01    0.2834892273E-01
